,Time,Anomaly,Year,Latitudes
564,1942;64S-44S,-0.05,1942,64S-44S
565,1942;90S-64S,-0.9,1942,90S-64S
567,1943;64N-90N,1.41,1943,64N-90N
568,1943;44N-64N,0.28,1943,44N-64N
569,1943;24N-44N,0.11,1943,24N-44N
570,1943;EQU-24N,-0.1,1943,EQU-24N
571,1943;24S-EQU,-0.06,1943,24S-EQU
572,1943;44S-24S,0.07,1943,44S-24S
573,1943;64S-44S,-0.01,1943,64S-44S
574,1943;90S-64S,1.14,1943,90S-64S
576,1944;64N-90N,1.18,1944,64N-90N
577,1944;44N-64N,0.47,1944,44N-64N
578,1944;24N-44N,0.09,1944,24N-44N
579,1944;EQU-24N,0.11,1944,EQU-24N
580,1944;24S-EQU,0.28,1944,24S-EQU
581,1944;44S-24S,0.19,1944,44S-24S
582,1944;64S-44S,-0.1,1944,64S-44S
583,1944;90S-64S,-0.94,1944,90S-64S
585,1945;64N-90N,0.63,1945,64N-90N
586,1945;44N-64N,-0.02,1945,44N-64N
587,1945;24N-44N,0.04,1945,24N-44N
588,1945;EQU-24N,0.1,1945,EQU-24N
589,1945;24S-EQU,0.25,1945,24S-EQU
590,1945;44S-24S,0.04,1945,44S-24S
591,1945;64S-44S,0.0,1945,64S-44S
592,1945;90S-64S,-1.77,1945,90S-64S
594,1946;64N-90N,-0.03,1946,64N-90N
595,1946;44N-64N,-0.05,1946,44N-64N
596,1946;24N-44N,0.16,1946,24N-44N
597,1946;EQU-24N,-0.02,1946,EQU-24N
598,1946;24S-EQU,-0.06,1946,24S-EQU
599,1946;44S-24S,-0.22,1946,44S-24S
600,1946;64S-44S,-0.24,1946,64S-44S
601,1946;90S-64S,-0.17,1946,90S-64S
603,1947;64N-90N,1.06,1947,64N-90N
604,1947;44N-64N,-0.13,1947,44N-64N
605,1947;24N-44N,0.04,1947,24N-44N
606,1947;EQU-24N,-0.03,1947,EQU-24N
607,1947;24S-EQU,-0.09,1947,24S-EQU
608,1947;44S-24S,-0.19,1947,44S-24S
609,1947;64S-44S,-0.08,1947,64S-44S
610,1947;90S-64S,-0.21,1947,90S-64S
612,1948;64N-90N,0.11,1948,64N-90N
613,1948;44N-64N,0.32,1948,44N-64N
614,1948;24N-44N,0.01,1948,24N-44N
615,1948;EQU-24N,-0.22,1948,EQU-24N
616,1948;24S-EQU,-0.14,1948,24S-EQU
